Company Name,Summary
Manulife,"Manulife Financial Corporation (also known as Financière Manuvie in Quebec) is a Canadian multinational insurance company and financial services provider headquartered in Toronto, Ontario. The company operates in Canada and Asia as ""Manulife"" and in the United States primarily through its John Hanco"
Power Corporation of Canada,"Power Corporation of Canada (French: Power Corporation du Canada) is a management and holding company that focuses on financial services in North America, Europe and Asia. Its core holdings are insurance, retirement, wealth management and investment management, including a portfolio of alternative i"
Magna International,"Magna International Inc. is a Canadian mobility technology company for automakers. It is one of the largest companies in Canada and was recognized on the 2020 Forbes Global 2000. The company is the largest automobile parts manufacturer in North America by sales of original equipment parts, it has ra"
George Weston Limited,"George Weston Limited, often referred to as Weston or Weston's, is a Canadian food processing and distribution company. Founded by George Weston in 1882, the company today consists of Weston Foods, a wholly owned subsidiary, and Loblaw Companies Limited, the country's largest supermarket retailer, i"
Royal Bank of Canada,"Royal Bank of Canada (RBC; French: Banque royale du Canada) is a Canadian multinational financial services company and the largest bank in Canada by market capitalization. The bank serves over 16 million clients and has 86,000+ employees worldwide. Founded in 1864 in Halifax, Nova Scotia, it maintai"
1-800-GOT-JUNK?,"RBDS Rubbish Boys Disposal Service Inc. (doing business as 1-800-GOT-JUNK?) is a Canadian franchised residential and commercial junk removal company operating in the United States, Canada, and Australia. The company's business model consists of taking junk or trash haulage, and giving it a ""clean"" i"
Norda Stelo,"Norda Stelo (formerly Roche Ltd, Consulting Group) specializes in integrated projects. Founded in La Malbaie, Québec in 1963, it has over 1,800 employees (in 2013). Alex Brisson is the President and CEO since 2013. The group is based in Québec City, and operates in over 50 countries."
3Way International Logistics,"3Way International Logistics Inc. is a freight forwarding company located in Mississauga, Ontario, Canada near Toronto Pearson International Airport. The names derives from the way they can send their shipment by either Land, Air or Ocean. The company was founded by Florencio Mario Simao Martins in "
A Buck or Two,"A Buck or Two Stores Ltd. is a Canadian owned and operated chain of specialty retail stores that sell party supplies, cards and wrap, confection, school & office supplies, toys and crafts, seasonal items, housewares, hardware, and other essentials. It has been open since 1988.
Merchandise is mostly "
A&W,"A&W may refer to:

A&W Restaurants, an American fast food chain
A&W Food Services of Canada, a fast food chain originally a part of A&W Restaurants, later sold and operated as a separate company
A&W Cream Soda
A&W Root Beer
Ahnapee and Western Railway
Alexandria & Western Railway"
